incident_id,date,category,severity_level,sla_breached,time_to_resolve_hours,root_cause,region,channel,subsystem,is_repeated_incident,financial_impact_usd
8091,2023-07-01,Payments,Medium,Yes,10.4,User Error,North America,API,Customer Onboarding,0,1593.08
5764,2023-07-01,Funds Transfer,Low,No,4.3,User Error,LATAM,API,Core Banking,0,2535.04
1476,2023-07-01,API Failure,Low,Yes,18.4,Policy Exception,LATAM,API,Payments Gateway,0,1231.75
2518,2023-07-01,Funds Transfer,High,No,11.4,User Error,EMEA,Mobile,Authentication Server,0,271.69
7948,2023-07-01,Payments,Low,No,8.6,User Error,APAC,Branch,Risk Scoring Engine,0,278.59
4880,2023-07-01,Payments,Low,No,5.5,User Error,EMEA,Mobile,Data Warehouse,0,35207.16
4523,2023-07-01,Login/Authentication,Low,No,8.8,User Error,EMEA,Branch,Authentication Server,0,286.29
821,2023-07-01,Funds Transfer,Low,No,14.8,System Error,APAC,Web,Authentication Server,0,633.7
9837,2023-07-01,Funds Transfer,Medium,No,14.8,User Error,APAC,Mobile,Risk Scoring Engine,1,2088.83
2932,2023-07-01,Account Update,Low,No,12.6,Configuration Issue,EMEA,Mobile,Data Warehouse,0,1370.23
1426,2023-07-01,Funds Transfer,Low,No,10.2,User Error,North America,Branch,Data Warehouse,0,864.55
4662,2023-07-01,Login/Authentication,Low,No,13.5,Configuration Issue,North America,API,Data Warehouse,0,1500.95
9971,2023-07-01,Login/Authentication,Low,No,1.8,Policy Exception,LATAM,API,Core Banking,0,997.44
8682,2023-07-01,Payments,Medium,No,9.2,System Error,EMEA,Branch,Data Warehouse,1,24173.13
5456,2023-07-01,Payments,Low,No,11.6,Policy Exception,North America,Web,Payments Gateway,0,1146.41
546,2023-07-01,Payments,Critical,No,13.8,User Error,LATAM,Branch,Data Warehouse,0,225.94
4398,2023-07-01,Login/Authentication,Medium,Yes,4.5,Vendor Delay,APAC,Mobile,Payments Gateway,0,219.99
11430,2023-07-01,Login/Authentication,Low,No,9.6,Vendor Delay,North America,Branch,Payments Gateway,0,2619.38
6859,2023-07-01,Settlement Delay,Medium,No,6.4,System Error,North America,Branch,Data Warehouse,0,455.13
2173,2023-07-01,Settlement Delay,Medium,Yes,6.6,Configuration Issue,EMEA,Branch,Customer Onboarding,1,553.73
7869,2023-07-01,Fraud Alert,Low,Yes,8.0,Network Issue,LATAM,Branch,Core Banking,0,532.8
11302,2023-07-01,Funds Transfer,Low,No,13.6,User Error,North America,API,Authentication Server,1,1200.79
4702,2023-07-01,Funds Transfer,Medium,No,16.2,System Error,North America,Mobile,Authentication Server,1,1923.71
2300,2023-07-01,Settlement Delay,Low,No,17.9,User Error,LATAM,API,Customer Onboarding,0,2272.12
711,2023-07-01,Login/Authentication,Medium,No,11.8,User Error,LATAM,API,Customer Onboarding,0,378.47
466,2023-07-01,Card Transactions,Medium,No,3.5,Configuration Issue,EMEA,Mobile,Payments Gateway,1,2464.06
11701,2023-07-01,Login/Authentication,Low,No,12.7,Network Issue,EMEA,Branch,Customer Onboarding,0,695.46
3666,2023-07-01,Login/Authentication,High,No,13.8,Policy Exception,North America,Web,Core Banking,0,321.98
6027,2023-07-02,Fraud Alert,Medium,Yes,12.9,Configuration Issue,EMEA,Mobile,Risk Scoring Engine,0,14803.75
